STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       5705;2025010618;    9;   10.0;  76.0;eor
       5705;2025010706;    9;    5.9;  65.0;eor
       5705;2025010712;    9;    6.8;  63.0;eor
       5705;2025010718;    9;    3.9;  66.0;eor
       5705;2025010806;    9;    2.3;  88.0;eor
       5705;2025010812;    9;    3.6;  83.0;eor
       5705;2025010818;    9;    0.1;  96.0;eor
       5705;2025010906;    9;    8.6;  84.0;eor
       5705;2025010912;    9;    9.6;  85.0;eor
       5705;2025010918;    9;    1.4;  85.0;eor
       5705;2025011006;    9;    0.5;  75.0;eor
       5705;2025011012;    9;    1.7;  72.0;eor
       5705;2025011018;    9;    1.0;  80.0;eor
       5705;2025011106;    9;   -0.6;  83.0;eor
       5705;2025011112;    9;    1.5;  67.0;eor
       5705;2025011118;    9;    0.9;  70.0;eor
       5705;2025011206;    9;   -1.6;  73.0;eor
       5705;2025011212;    9;    2.3;  55.0;eor
       5705;2025011218;    9;   -0.7;  72.0;eor
       5705;2025011306;    9;   -6.9;  90.0;eor
       5705;2025011312;    9;   -0.9;  67.0;eor
       5705;2025011318;    9;   -2.2;  75.0;eor
       5705;2025011406;    9;   -5.6;  90.0;eor
       5705;2025011412;    9;   -0.5;  68.0;eor
       5705;2025011418;    9;   -1.1;  77.0;eor
       5705;2025011506;    9;    0.9;  90.0;eor
       5705;2025011512;    9;    2.4;  86.0;eor
       5705;2025011518;    9;    2.3;  90.0;eor
       5705;2025011606;    9;    2.3;  85.0;eor
       5705;2025011612;    9;    6.2;  65.0;eor
       5705;2025011618;    9;    1.5;  85.0;eor
       5705;2025011706;    9;   -1.1;  96.0;eor
       5705;2025011712;    9;   -0.3;  93.0;eor
       5705;2025011718;    9;   -0.4;  90.0;eor
       5705;2025011806;    9;   -0.3;  86.0;eor
       5705;2025011812;    9;    3.1;  69.0;eor
       5705;2025011818;    9;    0.6;  84.0;eor
       5705;2025011906;    9;   -3.1;  93.0;eor
       5705;2025011912;    9;    4.8;  61.0;eor
       5705;2025011918;    9;    3.2;  71.0;eor
       5705;2025012006;    9;   -3.3;  94.0;eor
       5705;2025012012;    9;    1.4;  73.0;eor
       5705;2025012018;    9;   -0.6;  87.0;eor
       5705;2025012106;    9;   -4.8;  92.0;eor
       5705;2025012112;    9;   -2.8;  95.0;eor
       5705;2025012118;    9;   -2.6;  95.0;eor
       5705;2025012206;    9;   -5.6;  92.0;eor
       5705;2025012212;    9;    0.4;  81.0;eor
       5705;2025012218;    9;    1.8;  83.0;eor
       5705;2025012306;    9;    3.8;  88.0;eor
       5705;2025012312;    9;    5.6;  75.0;eor
       5705;2025012318;    9;    3.4;  73.0;eor
       5705;2025012406;    9;    4.0;  86.0;eor
       5705;2025012412;    9;    8.1;  70.0;eor
       5705;2025012418;    9;    7.8;  65.0;eor
       5705;2025012506;    9;    7.6;  62.0;eor
       5705;2025012512;    9;   13.1;  50.0;eor
       5705;2025012518;    9;   12.2;  66.0;eor
       5705;2025012606;    9;    8.1;  75.0;eor
       5705;2025012612;    9;    7.0;  64.0;eor
       5705;2025012618;    9;    2.3;  79.0;eor
       5705;2025012706;    9;    7.2;  82.0;eor
       5705;2025012712;    9;   11.2;  79.0;eor
       5705;2025012718;    9;    9.9;  70.0;eor
       5705;2025012806;    9;    4.9;  87.0;eor
       5705;2025012812;    9;    7.3;  81.0;eor
       5705;2025012818;    9;    5.9;  81.0;eor
       5705;2025012906;    9;    6.2;  90.0;eor
       5705;2025012912;    9;    7.3;  79.0;eor
       5705;2025012918;    9;    5.9;  73.0;eor
       5705;2025013006;    9;    1.4;  88.0;eor
       5705;2025013012;    9;    7.0;  73.0;eor
       5705;2025013018;    9;    7.9;  76.0;eor
       5705;2025013106;    9;    1.3;  87.0;eor
       5705;2025013112;    9;    4.9;  57.0;eor
       5705;2025013118;    9;    2.2;  73.0;eor
       5705;2025020106;    9;   -3.3;  92.0;eor
       5705;2025020112;    9;    4.2;  60.0;eor
       5705;2025020118;    9;    1.0;  73.0;eor
       5705;2025020206;    9;   -4.0;  91.0;eor
       5705;2025020212;    9;    2.7;  62.0;eor
       5705;2025020218;    9;    0.5;  78.0;eor
       5705;2025020306;    9;   -5.6;  92.0;eor
       5705;2025020312;    9;   -1.0;  89.0;eor
       5705;2025020318;    9;   -1.3;  85.0;eor
       5705;2025020406;    9;   -3.1;  94.0;eor
       5705;2025020412;    9;   -2.3;  81.0;eor
       5705;2025020418;    9;   -1.8;  83.0;eor
       5705;2025020506;    9;   -3.7;  96.0;eor
       5705;2025020512;    9;   -1.6;  92.0;eor
       5705;2025020518;    9;    0.2;  95.0;eor
       5705;2025020606;    9;    0.1;  90.0;eor
       5705;2025020612;    9;    2.4;  74.0;eor
       5705;2025020618;    9;    2.2;  77.0;eor
       5705;2025020706;    9;    2.5;  68.0;eor
       5705;2025020712;    9;    4.1;  65.0;eor
       5705;2025020718;    9;    1.7;  72.0;eor
       5705;2025020806;    9;   -2.1;  87.0;eor
       5705;2025020812;    9;    5.4;  57.0;eor
       5705;2025020818;    9;    3.0;  70.0;eor
       5705;2025020906;    9;   -2.8;  92.0;eor
       5705;2025020912;    9;    1.1;  76.0;eor
       5705;2025020918;    9;    1.1;  79.0;eor
       5705;2025021006;    9;   -0.7;  90.0;eor
       5705;2025021012;    9;    4.4;  70.0;eor
       5705;2025021018;    9;    4.2;  69.0;eor
       5705;2025021106;    9;    2.0;  88.0;eor
       5705;2025021112;    9;    5.2;  79.0;eor
       5705;2025021118;    9;    3.7;  81.0;eor
       5705;2025021206;    9;    2.4;  93.0;eor
       5705;2025021212;    9;    4.4;  93.0;eor
       5705;2025021218;    9;    3.9;  96.0;eor
       5705;2025021306;    9;    2.0;  94.0;eor
       5705;2025021312;    9;    2.7;  83.0;eor
       5705;2025021318;    9;    1.0;  84.0;eor
       5705;2025021406;    9;   -1.3;  81.0;eor
       5705;2025021412;    9;    0.6;  71.0;eor
       5705;2025021418;    9;    0.1;  72.0;eor
       5705;2025021506;    9;   -1.2;  76.0;eor
       5705;2025021512;    9;    0.0;  69.0;eor
       5705;2025021518;    9;   -1.4;  73.0;eor
       5705;2025021606;    9;   -2.1;  72.0;eor
       5705;2025021612;    9;    0.5;  65.0;eor
       5705;2025021618;    9;   -0.4;  66.0;eor
       5705;2025021706;    9;   -6.3;  82.0;eor
       5705;2025021712;    9;    1.0;  53.0;eor
       5705;2025021718;    9;   -1.5;  65.0;eor
       5705;2025021806;    9;   -7.9;  84.0;eor
       5705;2025021812;    9;    1.2;  56.0;eor
       5705;2025021818;    9;   -0.3;  51.0;eor
       5705;2025021906;    9;   -6.7;  72.0;eor
       5705;2025021912;    9;    2.0;  40.0;eor
       5705;2025021918;    9;    0.6;  45.0;eor
       5705;2025022006;    9;   -0.6;  61.0;eor
       5705;2025022012;    9;    2.5;  58.0;eor
       5705;2025022018;    9;    2.3;  66.0;eor
       5705;2025022106;    9;    1.9;  89.0;eor
       5705;2025022112;    9;   10.6;  71.0;eor
       5705;2025022118;    9;   10.1;  71.0;eor
       5705;2025022206;    9;    3.1;  79.0;eor
       5705;2025022212;    9;    7.6;  61.0;eor
       5705;2025022218;    9;    9.2;  68.0;eor
       5705;2025022306;    9;    8.3;  86.0;eor
       5705;2025022312;    9;   13.6;  53.0;eor
       5705;2025022318;    9;    9.9;  71.0;eor
       5705;2025022406;    9;    1.2;  94.0;eor
       5705;2025022412;    9;   10.1;  72.0;eor
       5705;2025022418;    9;    9.3;  80.0;eor
       5705;2025022506;    9;    7.9;  93.0;eor
       5705;2025022512;    9;   11.2;  74.0;eor
       5705;2025022518;    9;    8.0;  95.0;eor
       5705;2025022606;    9;    4.6;  89.0;eor
       5705;2025022612;    9;    7.1;  89.0;eor
       5705;2025022618;    9;    5.4;  80.0;eor
       5705;2025022706;    9;    2.4;  89.0;eor
       5705;2025022712;    9;    5.9;  86.0;eor
       5705;2025022718;    9;    3.7;  85.0;eor
       5705;2025022806;    9;    2.1;  91.0;eor
       5705;2025022812;    9;    5.3;  77.0;eor
       5705;2025022818;    9;    3.3;  84.0;eor
       5705;2025030106;    9;   -2.2;  98.0;eor
       5705;2025030112;    9;    4.3;  82.0;eor
       5705;2025030118;    9;    4.2;  76.0;eor
       5705;2025030206;    9;   -2.1;  93.0;eor
       5705;2025030212;    9;    6.8;  60.0;eor
       5705;2025030218;    9;    5.0;  63.0;eor
       5705;2025030306;    9;   -2.6;  92.0;eor
       5705;2025030312;    9;    8.7;  52.0;eor
       5705;2025030318;    9;    7.6;  46.0;eor
       5705;2025030406;    9;   -1.2;  83.0;eor
       5705;2025030412;    9;    8.7;  51.0;eor
       5705;2025030418;    9;    8.0;  44.0;eor
       5705;2025030506;    9;   -2.8;  89.0;eor
       5705;2025030512;    9;   12.1;  45.0;eor
       5705;2025030518;    9;   11.5;  49.0;eor
       5705;2025030606;    9;   -1.3;  90.0;eor
       5705;2025030612;    9;   14.2;  46.0;eor
       5705;2025030618;    9;   12.1;  42.0;eor
       5705;2025030706;    9;   -0.4;  89.0;eor
       5705;2025030712;    9;   13.3;  44.0;eor
       5705;2025030718;    9;   13.9;  40.0;eor
       5705;2025030806;    9;    0.7;  81.0;eor
       5705;2025030812;    9;   15.1;  44.0;eor
       5705;2025030818;    9;   12.8;  41.0;eor
       5705;2025030906;    9;    0.8;  89.0;eor
       5705;2025030912;    9;   14.8;  41.0;eor
       5705;2025030918;    9;   13.7;  40.0;eor
       5705;2025031006;    9;    1.5;  81.0;eor
       5705;2025031012;    9;   15.1;  39.0;eor
       5705;2025031018;    9;   11.1;  72.0;eor
       5705;2025031106;    9;    5.9;  96.0;eor
       5705;2025031112;    9;   12.0;  68.0;eor
       5705;2025031118;    9;   10.0;  75.0;eor
       5705;2025031206;    9;    5.2;  92.0;eor
       5705;2025031212;    9;    5.8;  90.0;eor
       5705;2025031218;    9;    5.1;  91.0;eor
       5705;2025031306;    9;    1.4;  93.0;eor
       5705;2025031312;    9;    6.0;  69.0;eor
       5705;2025031318;    9;    4.6;  78.0;eor
       5705;2025031406;    9;    2.3;  93.0;eor
       5705;2025031412;    9;    4.3;  83.0;eor
       5705;2025031418;    9;    4.8;  76.0;eor
       5705;2025031506;    9;    2.0;  79.0;eor
       5705;2025031512;    9;    7.1;  62.0;eor
       5705;2025031518;    9;    6.4;  65.0;eor
       5705;2025031606;    9;    0.4;  78.0;eor
       5705;2025031612;    9;    9.2;  33.0;eor
       5705;2025031618;    9;    5.8;  54.0;eor
       5705;2025031706;    9;   -0.1;  76.0;eor
       5705;2025031712;    9;    7.7;  42.0;eor
       5705;2025031718;    9;    2.9;  45.0;eor
       5705;2025031806;    9;   -3.0;  61.0;eor
       5705;2025031812;    9;    7.8;  31.0;eor
       5705;2025031818;    9;    6.1;  34.0;eor
       5705;2025031906;    9;   -2.5;  69.0;eor
       5705;2025031912;    9;    9.7;  39.0;eor
       5705;2025031918;    9;   11.4;  41.0;eor
       5705;2025032006;    9;   -0.7;  82.0;eor
       5705;2025032012;    9;   14.4;  40.0;eor
       5705;2025032018;    9;   15.5;  39.0;eor
       5705;2025032106;    9;    2.9;  81.0;eor
       5705;2025032112;    9;   19.4;  36.0;eor
       5705;2025032118;    9;   16.6;  39.0;eor
       5705;2025032206;    9;    8.2;  57.0;eor
       5705;2025032212;    9;   15.3;  44.0;eor
       5705;2025032218;    9;   13.9;  50.0;eor
       5705;2025032306;    9;    7.3;  74.0;eor
       5705;2025032312;    9;   13.9;  55.0;eor
       5705;2025032318;    9;   12.2;  82.0;eor
       5705;2025032406;    9;    8.8;  91.0;eor
       5705;2025032412;    9;   13.5;  79.0;eor
       5705;2025032418;    9;    9.9;  86.0;eor
       5705;2025032506;    9;    5.0; 100.0;eor
       5705;2025032512;    9;   13.6;  71.0;eor
       5705;2025032518;    9;   12.9;  57.0;eor
       5705;2025032606;    9;    7.7;  76.0;eor
       5705;2025032612;    9;    9.0;  80.0;eor
       5705;2025032618;    9;    8.5;  71.0;eor
       5705;2025032706;    9;    4.1;  86.0;eor
       5705;2025032712;    9;   13.0;  52.0;eor
       5705;2025032718;    9;   11.2;  52.0;eor
       5705;2025032806;    9;    2.0;  86.0;eor
       5705;2025032812;    9;   13.3;  48.0;eor
       5705;2025032818;    9;   13.0;  44.0;eor
       5705;2025032906;    9;    8.4;  67.0;eor
       5705;2025032912;    9;   12.9;  55.0;eor
       5705;2025032918;    9;   10.9;  55.0;eor
       5705;2025033006;    9;    2.2;  80.0;eor
       5705;2025033012;    9;    9.0;  65.0;eor
       5705;2025033018;    9;   10.1;  65.0;eor
       5705;2025033106;    9;    5.4;  83.0;eor
       5705;2025033112;    9;    8.3;  57.0;eor
       5705;2025033118;    9;    8.5;  58.0;eor
       5705;2025040106;    9;    5.1;  74.0;eor
       5705;2025040112;    9;   10.8;  49.0;eor
       5705;2025040118;    9;    9.2;  52.0;eor
       5705;2025040206;    9;    5.6;  74.0;eor
       5705;2025040212;    9;   15.2;  47.0;eor
       5705;2025040218;    9;   13.9;  46.0;eor
       5705;2025040306;    9;    6.8;  70.0;eor
       5705;2025040312;    9;   17.9;  36.0;eor
       5705;2025040318;    9;   15.8;  39.0;eor
       5705;2025040406;    9;    7.3;  74.0;eor
       5705;2025040412;    9;   19.2;  40.0;eor
       5705;2025040418;    9;   18.1;  38.0;eor
       5705;2025040506;    9;    7.6;  73.0;eor
       5705;2025040512;    9;   19.9;  40.0;eor
       5705;2025040518;    9;   11.4;  42.0;eor
       5705;2025040606;    9;    1.1;  48.0;eor
       5705;2025040612;    9;    7.7;  33.0;eor
       5705;2025040618;    9;    6.2;  40.0;eor
       5705;2025040706;    9;   -0.2;  64.0;eor
       5705;2025040712;    9;   11.0;  38.0;eor
       5705;2025040718;    9;    9.4;  41.0;eor
       5705;2025040806;    9;    1.7;  71.0;eor
       5705;2025040812;    9;   12.7;  38.0;eor
       5705;2025040818;    9;   11.9;  38.0;eor
       5705;2025040906;    9;    2.5;  83.0;eor
       5705;2025040912;    9;   14.4;  30.0;eor
       5705;2025040918;    9;   13.3;  38.0;eor
       5705;2025041006;    9;    5.3;  76.0;eor
       5705;2025041012;    9;    9.9;  57.0;eor
       5705;2025041018;    9;   11.7;  52.0;eor
       5705;2025041106;    9;    4.1;  79.0;eor
       5705;2025041112;    9;   17.5;  36.0;eor
       5705;2025041118;    9;   16.9;  37.0;eor
       5705;2025041206;    9;    5.3;  77.0;eor
       5705;2025041212;    9;   20.0;  33.0;eor
       5705;2025041218;    9;   18.8;  36.0;eor
       5705;2025041306;    9;   11.1;  69.0;eor
       5705;2025041312;    9;   18.0;  55.0;eor
       5705;2025041318;    9;   16.5;  59.0;eor
       5705;2025041406;    9;    9.4;  91.0;eor
       5705;2025041412;    9;   16.5;  65.0;eor
       5705;2025041418;    9;   16.2;  59.0;eor
       5705;2025041506;    9;   10.5;  83.0;eor
       5705;2025041512;    9;   21.7;  50.0;eor
       5705;2025041518;    9;   16.1;  68.0;eor
       5705;2025041606;    9;   10.1;  87.0;eor
       5705;2025041612;    9;   24.0;  36.0;eor
       5705;2025041618;    9;   16.1;  69.0;eor
       5705;2025041706;    9;   10.1;  91.0;eor
       5705;2025041712;    9;   12.7;  79.0;eor
       5705;2025041718;    9;   10.3;  81.0;eor
       5705;2025041806;    9;    7.6;  95.0;eor
       5705;2025041812;    9;    9.0;  78.0;eor
       5705;2025041818;    9;    7.9;  80.0;eor
       5705;2025041906;    9;    7.5;  88.0;eor
       5705;2025041912;    9;   14.5;  54.0;eor
       5705;2025041918;    9;   13.8;  59.0;eor
       5705;2025042006;    9;    6.8;  83.0;eor
       5705;2025042012;    9;   19.8;  53.0;eor
       5705;2025042018;    9;   13.7;  54.0;eor
